time,open,close,high,low,volume
1388505600000,735.9,735.9,735.9,735.9,0.001
1388505660000,735.9,736.0,736.0,735.9,10.00011011
1388505720000,735.99,735.99,735.99,735.99,0.002
1388505780000,736.0,736.0,736.0,736.0,0.451
1388506020000,735.99,735.99,735.99,735.99,0.001
1388506080000,736.0,736.0,736.0,736.0,0.1
1388506140000,735.97,735.97,735.97,735.97,0.001
1388506200000,733.94,733.94,733.94,733.94,0.008
1388506320000,732.96,732.96,732.96,732.96,0.6395696
1388506740000,735.0,734.0,735.0,734.0,0.66600637
1388507280000,733.08,735.99,735.99,733.08,4.5128035
1388507520000,734.0,734.0,734.0,734.0,0.001
1388507640000,735.97,735.97,735.97,735.97,0.35
1388507820000,732.11,733.11,733.11,732.11,0.021028400000000003
1388507940000,733.47,733.47,733.47,733.47,0.001
1388508060000,736.01,736.0,736.01,733.2201,0.6136593
1388508120000,733.2201,733.2,733.2201,733.2,2.0
1388508180000,733.21,734.8,734.81,733.21,4.0462
1388508300000,734.81,734.81,734.81,734.81,0.09
1388508420000,733.01,733.01,733.01,733.01,0.1029338
1388508480000,734.81,734.8,734.81,734.8,10.0
1388508540000,734.8,734.8,734.81,734.8,36.57321898
1388508660000,735.89,735.99,735.99,735.89,0.7899999999999999
1388508840000,735.99,735.3,735.99,735.3,0.71
1388508900000,735.12,735.12,735.12,735.12,0.1
1388508960000,735.1,735.0101,735.1,735.0101,0.6
1388509080000,735.89511,735.99,735.99,735.89511,37.98660551
1388509440000,735.55,735.55,735.55,735.55,0.1
1388509500000,736.0,736.78,736.78,736.0,1.0700376
1388509620000,735.0301,735.03,736.0,735.03,4.32144976
1388509680000,736.0,735.0201,736.0,735.0201,5.25
1388509740000,735.0301,735.0201,735.0301,735.0201,1.35
1388509920000,735.03,732.87,735.03,732.87,52.2962096
1388509980000,735.0,735.0,735.0,732.87,59.740454330000006
1388510040000,732.87,735.0,735.0,732.87,13.67887569
1388510100000,733.2,733.01,733.2,733.01,0.7
1388510160000,733.01,733.01,733.01,733.01,0.65333054
1388510220000,733.01,733.01,733.01,733.01,2.36879151
1388510280000,733.01,730.63,733.01,730.63,9.12149326
1388510400000,733.0,733.0,733.0,733.0,0.2
1388510640000,733.01,733.01,733.01,733.01,0.1456
1388510820000,733.01,733.01,733.01,733.01,1.34605338
1388510880000,732.01,732.01,732.01,732.01,0.1387616
1388510940000,733.01,733.01,733.01,733.01,0.3
1388511240000,731.54,731.54,731.54,731.54,0.21618502
1388511480000,733.0,733.0,733.0,733.0,3.0
1388511540000,733.0,733.0,733.0,733.0,1.0
1388511600000,731.19,733.2,735.0,731.19,13.259224700000003
1388511660000,733.2,733.0,733.2,733.0,21.0
1388511840000,733.01,733.01,733.01,733.01,0.25864455
1388511900000,733.02,733.02,733.02,733.02,0.19366357
1388512200000,734.97,734.97,734.97,734.97,1.0
1388512260000,734.95,733.0,734.95,733.0,20.0
1388512320000,734.97,734.95,734.97,734.95,0.4
1388512800000,733.0,733.0,733.0,733.0,0.002
1388512860000,733.01,733.01,733.01,733.01,0.80747432
1388513100000,734.88,734.88,734.88,734.88,0.40290170000000003
1388513340000,733.01,733.01,733.01,733.01,0.1
1388513460000,734.819,734.99,734.99,734.819,5.30988366
1388513520000,733.01,735.0,735.0,733.01,10.72693112
1388513880000,733.0,733.0,733.0,733.0,10.0
1388514120000,733.0,733.0,733.0,733.0,0.10600000000000001
1388514360000,733.0,733.0,733.0,733.0,0.012
1388514420000,733.0,733.0,733.0,733.0,0.002
1388514480000,733.0,733.0,733.0,733.0,0.5
1388514660000,733.0,731.33,733.0,731.33,14.9107245
1388514720000,731.33,731.33,731.33,731.33,1.6
1388514960000,730.81,730.8,730.81,730.8,3.8222697
1388515020000,730.1,732.99,732.99,730.01,1.035
1388515260000,733.36,733.35,733.36,733.35,0.2058141
1388515380000,730.11,729.0001,730.11,729.0001,9.113808270000002
1388515800000,733.99,732.0769,733.99,732.0769,2.201
1388515860000,734.0,734.27,734.27,734.0,13.2200347
1388515920000,734.27,734.27,734.27,734.27,1.9975011999999999
1388516040000,732.889,732.889,732.889,732.889,0.1
1388517000000,732.52,732.51,732.52,732.51,0.20898
1388517120000,731.99,731.99,731.99,731.99,0.2
1388517300000,732.53,732.52,732.53,732.52,0.086105
1388517360000,730.0,732.99,732.99,730.0,1.83
1388517420000,732.9899,732.9899,732.9899,732.9899,1.0
1388517540000,732.8688,730.1,733.3333,730.1,6.00856
1388517660000,730.1,729.02,730.1,729.01,15.004
1388517720000,729.02,729.02,729.02,729.02,0.001
1388517780000,729.02,729.02,729.02,729.02,0.001
1388517840000,729.02,729.59,729.59,729.0,106.92
1388518260000,729.0,728.73,729.0,728.73,5.0
1388518320000,728.74,728.74,728.74,728.74,0.01
1388518380000,728.29,728.29,728.29,728.29,0.9892927
1388518440000,728.5,727.5,728.5,727.5,14.497699999999998
1388518500000,727.01,728.0,728.0,727.0,25.810000000000002
1388518560000,728.0,727.99,728.0,727.888888,6.0
1388518620000,727.99,728.0,728.0,727.99,25.852783900000002
1388518680000,728.0,727.99,728.0,727.0,56.0
1388518740000,727.9899,727.0,728.0,727.0,53.162
1388518800000,727.0,728.0,728.0,727.0,2.0509999999999997
1388518860000,728.0,728.0,728.0,728.0,1.54
1388518920000,727.98,727.0101,727.98,727.0101,1.35
1388518980000,727.0,727.98,727.98,727.0,53.686016099999996
1388519100000,727.98,727.98,727.98,727.98,5.2932809
1388519160000,728.1111,728.39,729.888888,728.1111,24.994415
1388519220000,731.9,731.9,731.9,731.9,0.081
1388519400000,732.28,732.3099,732.3099,732.28,0.22
1388519460000,732.33,732.33,732.33,732.33,1.0
1388519520000,732.9699,732.97,732.97,732.9699,13.749125
1388519580000,733.2899,733.45,733.45,733.2899,11.695068169999999
1388519640000,733.599,734.8888,734.8888,733.599,6.71403296
1388519760000,733.47,735.0,735.0,733.47,10.04
1388519820000,735.15,735.15,735.15,735.15,0.1539
1388519880000,732.99,732.99,732.99,732.99,0.001
1388520120000,733.9899,734.0,734.0,733.987,5.5
1388520180000,733.96,733.5,734.0,733.5,20.5
1388520300000,733.5,732.0,733.5,732.0,0.003
1388520540000,733.0,732.99,733.0,732.0,0.101
1388520600000,732.99,732.99,732.99,732.99,0.1
1388520660000,732.0,732.99,732.99,732.0,0.04
1388520720000,731.0,731.0,731.0,731.0,0.001
1388520780000,732.99,732.99,732.99,732.99,1.0
1388521080000,732.99,732.99,732.99,732.99,0.9999
1388521620000,733.96,733.96,733.96,733.96,2.0
1388521680000,733.96,733.96,733.96,733.96,0.2
1388521800000,733.96,732.99,733.96,732.99,1.1
1388522040000,733.96,733.96,733.96,733.96,0.0104806
1388522760000,731.0,731.0,731.0,731.0,0.001
1388522880000,730.0,729.08,730.89,729.08,1.88
1388522940000,729.0401,730.24,730.24,729.0,1.81
1388523420000,732.95,732.95,732.95,732.95,0.38723476
1388523960000,732.0,732.0,732.0,732.0,1.0
1388524560000,732.19,732.19,732.19,732.19,0.0076923
1388524740000,732.0,732.0,732.0,732.0,0.65
1388525040000,731.99,731.99,731.99,731.99,0.70418508
1388525340000,731.99,732.0,732.0,731.99,1.10718419
1388525640000,733.97,733.97,733.97,733.97,0.0070873
1388525700000,732.0,732.0,732.0,732.0,2.0
1388525760000,731.99,731.99,731.99,731.99,0.18863073
1388525880000,730.431,729.59,731.54,728.0,109.80022415
1388525940000,730.31,728.0,730.31,728.0,0.11690389999999999
1388526000000,728.0,728.0,729.76,728.0,7.086174099999999
1388526060000,727.99,727.2201,729.36,727.2201,100.65175595999999
1388526120000,728.0,729.76,729.76,728.0,0.0761649
1388526180000,727.99,728.0,728.0,727.99,111.10000000000001
1388526240000,729.76,730.06,730.06,728.0,3.1661559
1388526300000,728.0,729.76,730.06,728.0,11.5624537
1388526360000,729.0,729.0,729.0,729.0,2.854076
1388526420000,729.76,728.0,729.76,728.0,4.2431569
1388526480000,730.0,728.0,730.0,728.0,20.0985731
1388526540000,728.0,733.94,733.94,728.0,104.25217769999999
1388526600000,727.2301,730.31,733.94,727.2301,3.8180182
1388526720000,732.0,728.94,732.0,727.0,46.79887078000001
1388526780000,728.94,728.94,730.24,728.94,3.3997455000000003
1388526840000,728.94,728.94,729.0,728.94,0.7497738999999999
1388526900000,728.94,728.4,731.9,728.4,4.6603188
1388526960000,728.94,728.4,729.59,728.4,4.2010397
1388527020000,728.4,728.39,728.4,728.39,2.2457781
1388527080000,728.39,728.39,728.39,728.39,27.4583844
1388527140000,728.4,728.0,728.94,728.0,15.606640600000002
1388527200000,729.0,728.0,729.0,727.22,43.949088880000005
1388527260000,728.0,728.02,728.74,728.0,8.2810275
1388527320000,728.02,728.02,728.02,728.02,1.3507595
1388527380000,728.04,728.29,728.29,728.03,1.8749141999999999
1388527440000,728.29,728.04,728.29,728.04,0.3724683
1388527500000,728.29,728.02,728.3,728.02,2.7496554
1388527560000,728.9,728.02,728.9,728.02,9.0756524
1388527620000,728.06,728.07,728.07,728.01,4.9700598
1388527680000,728.07,728.06,728.09,728.03,4.0040816999999995
1388527740000,728.09,728.09,728.09,728.09,0.3066179
1388527800000,726.16,728.0,728.1,726.16,2.2655791
1388527860000,728.0,726.16,728.0,726.16,5.5132325
1388527920000,726.171,726.161,726.171,726.161,10.67
1388528100000,726.16,727.0,728.49,726.0,77.36913084
1388528160000,727.0,727.0,728.09,727.0,3.0323057999999996
1388528220000,727.0,727.0,727.0,727.0,0.5349511
1388528280000,726.0,726.0,726.0,726.0,0.24
1388528340000,726.99,726.99,726.99,726.99,0.0192308
1388528400000,727.0,727.0,727.0,727.0,0.83
1388528460000,727.0,727.0,727.0,727.0,5.3076923
1388528520000,727.0,727.16,727.16,725.1,8.769464909999998
1388528580000,725.03512,725.025123,725.03512,725.025123,1.50965098
1388528640000,725.03512,725.03512,725.03512,725.03512,0.80981376
1388528700000,725.1,725.025123,725.1,725.025123,10.02
1388528760000,725.03,725.0,725.03,725.0,40.3
1388528820000,725.0,726.72,727.04,725.0,1.5
1388528880000,727.03,727.03,727.03,727.03,0.0769231
1388529000000,727.03,728.15,728.15,727.03,0.2644266
1388529060000,728.16,728.445,728.445,727.04,0.194274
1388529120000,728.15,725.001,728.43,725.001,15.0632056
1388529180000,725.011,728.15,728.15,725.0,20.0210685
1388529240000,725.5,725.5,725.5,725.5,1.0
1388529300000,725.04,725.04,725.04,725.04,0.008
1388529360000,725.04,725.04,725.04,725.04,0.002
1388529420000,725.07,725.06,725.07,725.0,28.619999999999997
1388529480000,726.0,725.0,726.0,725.0,6.0
1388529540000,725.0,725.0,725.0,725.0,25.0
1388529600000,728.15,727.03,728.15,726.0,2.841442400000001
1388529660000,727.03,726.8,727.03,726.0,1.0107693
1388529720000,726.81,726.81,726.81,726.81,0.0105787
1388529780000,726.0,725.00011,726.0,725.00011,27.0
1388529840000,726.3,726.1,726.3,726.1,2.01
1388529900000,726.1,726.1,726.1,726.1,22.99
1388529960000,726.5,726.0,729.23,726.0,1.69074195
1388530020000,725.00011,725.0,725.00011,725.0,30.0
1388530080000,726.99,725.0,726.99,725.0,5.0
1388530200000,725.5,725.5,725.5,725.5,1.0
1388530260000,725.01,725.0,725.01,725.0,25.0
1388530320000,725.9999,726.5998,726.5998,725.9999,8.5
1388530380000,727.0,726.65,727.0,726.63,50.0
1388530440000,726.63,726.65,726.65,726.63,35.01
1388530500000,728.15,726.68,728.71,726.68,3.0020163
1388530560000,729.76,729.76,729.76,729.76,0.11825170000000002
1388530620000,728.29,730.0,730.0,727.63,4.0050293
1388530680000,730.0,729.0,730.24,727.51,1.1577107000000002
1388530740000,728.5,729.01,729.01,728.5,19.9047846
1388530800000,728.59,727.59,728.59,727.59,0.0211301
1388530860000,729.6899,729.01,729.6999,729.0,4.0
1388530920000,729.01,729.59,729.61,729.01,6.1303376
1388530980000,730.24,730.24,730.24,730.24,0.0246154
1388531040000,729.76,729.76,729.76,729.76,0.0666637
1388531160000,729.76,729.76,729.76,729.76,0.0666545
1388531220000,728.29,727.95,728.29,727.95,0.21298640000000002
1388531280000,728.29,727.95,729.76,727.95,0.6876633999999999
1388531520000,729.01,729.01,729.01,729.01,1.0
1388531580000,729.01,729.99,729.99,729.01,8.0
1388531640000,729.99,727.51,729.99,726.1,17.429841870000004
1388531700000,729.99,727.69,729.99,725.11,32.5157133
1388531760000,726.0,727.0,727.71,726.0,5.3452527000000005
1388531820000,729.64,729.7798,729.9899,727.69,9.2325589
1388531880000,729.7798,729.79,729.79,729.7599,10.0
1388531940000,727.0,727.0,728.46,727.0,9.549404
1388532000000,727.0,727.0,728.46,727.0,10.0312457
1388532060000,727.0,727.0,727.0,727.0,8.0
1388532120000,727.0,727.7,729.0,727.0,12.5993212
1388532180000,727.0,727.0,727.0,727.0,2.0
1388532240000,727.0,727.75,727.91,727.0,11.337474599999998
1388532300000,727.0,727.64,727.91,726.02,8.209845999999994
1388532360000,727.68,727.64,727.68,726.71,5.4372261
1388532420000,726.71,726.0,726.71,726.0,2.3554654
1388532480000,725.0101,726.71,726.87,725.0,20.480233999999996
1388532540000,726.0,726.0,726.0,726.0,0.9684171
